transaction_id,card_id,pan_masked,product_id,cohort_id,timestamp_utc,tx_time_seconds,mti,stan,rrn,auth_code,response_code,auth_response_code,pos_entry_mode,pos_condition_code,eci,trans_status_3ds,vaai_score,amount,amount_minor,currency,available_balance,credit_limit,mcc,merchant_id
TX_00000000,CARD_000410,607152******4551,IN_PROD_SALARIED_PRIME_REWARDS,C4_SUBURBAN_FAMILY,2024-01-01T00:24:42.523813+00:00,1704068682.52,0100,000001,170406868201,A66358,00,00,071,00,,Y,20,1423.45,142345,INR,119208.72,148828.55681492918,5411,M_5411_00068
TX_00000001,CARD_000410,607152******4551,IN_PROD_SALARIED_PRIME_REWARDS,C4_SUBURBAN_FAMILY,2024-01-01T00:29:25.462913+00:00,1704068965.46,0100,000002,170406896502,A96762,00,00,012,59,05,Y,31,3260.59,326059,INR,117785.27,148828.55681492918,5311,M_5311_00007
TX_00000002,CARD_000410,607152******4551,IN_PROD_SALARIED_PRIME_REWARDS,C4_SUBURBAN_FAMILY,2024-01-01T00:30:30.938499+00:00,1704069030.94,0100,000003,170406903003,A84460,00,00,012,59,05,Y,33,2335.3,233530,INR,114524.68,148828.55681492918,5812,M_5812_00081
TX_00000003,CARD_000410,607152******4551,IN_PROD_SALARIED_PRIME_REWARDS,C4_SUBURBAN_FAMILY,2024-01-01T00:33:05.757286+00:00,1704069185.76,0100,000004,170406918504,A46661,00,00,012,59,05,Y,18,2766.67,276667,INR,112189.38,148828.55681492918,5411,M_5411_00058
TX_00000004,CARD_000410,607152******4551,IN_PROD_SALARIED_PRIME_REWARDS,C4_SUBURBAN_FAMILY,2024-01-01T00:34:10.546288+00:00,1704069250.55,0100,000005,170406925005,A80788,00,00,051,00,,Y,29,890.65,89065,INR,109422.7,148828.55681492918,5411,M_5411_00068
TX_00000005,CARD_000410,607152******4551,IN_PROD_SALARIED_PRIME_REWARDS,C4_SUBURBAN_FAMILY,2024-01-01T00:38:15.402903+00:00,1704069495.4,0100,000006,170406949506,A76698,00,00,071,00,,Y,24,1441.1,144110,INR,108532.05,148828.55681492918,5411,M_5411_00068
TX_00000006,CARD_000981,607152******5617,IN_PROD_SUPER_PREMIUM_HNI,C6_SMALL_BUSINESS_OWNER,2024-01-01T05:13:13.287330+00:00,1704085993.29,0100,000007,170408599307,,65,65,071,00,,Y,17,5929.01,592901,INR,3980059.47,4707762.9587956,5814,M_5814_00066
TX_00000007,CARD_000131,607152******4071,IN_PROD_SALARIED_PRIME_REWARDS,C4_SUBURBAN_FAMILY,2024-01-01T05:51:21.431378+00:00,1704088281.43,0100,000008,170408828108,A81308,00,00,071,00,,Y,23,2623.54,262354,INR,138128.05,162669.30366605736,5541,M_5541_00019
TX_00000008,CARD_000131,607152******4071,IN_PROD_SALARIED_PRIME_REWARDS,C4_SUBURBAN_FAMILY,2024-01-01T05:56:34.068874+00:00,1704088594.07,0100,000009,170408859409,A69947,00,00,071,00,,Y,11,1478.2,147820,INR,135504.5,162669.30366605736,5541,M_5541_00019
TX_00000009,CARD_000131,607152******4071,IN_PROD_SALARIED_PRIME_REWARDS,C4_SUBURBAN_FAMILY,2024-01-01T06:14:59.330290+00:00,1704089699.33,0100,000010,170408969910,A71668,00,00,051,00,,Y,13,1623.76,162376,INR,134026.31,162669.30366605736,5542,M_5542_00121
TX_00000010,CARD_000131,607152******4071,IN_PROD_SALARIED_PRIME_REWARDS,C4_SUBURBAN_FAMILY,2024-01-01T06:17:13.393955+00:00,1704089833.39,0100,000011,170408983311,A78912,00,00,071,00,,Y,9,1210.18,121018,INR,132402.55,162669.30366605736,5542,M_5542_00121
TX_00000011,CARD_000560,607152******9108,IN_PROD_SALARIED_PRIME_REWARDS,C3_YOUNG_ADULT_STUDENT,2024-01-01T06:39:40.643297+00:00,1704091180.64,0100,000012,170409118012,A10890,00,00,012,59,05,Y,27,1762.45,176245,INR,133661.56,159516.69499992288,6051,M_6051_00023
TX_00000012,CARD_000560,607152******9108,IN_PROD_SALARIED_PRIME_REWARDS,C3_YOUNG_ADULT_STUDENT,2024-01-01T06:40:58.411704+00:00,1704091258.41,0100,000013,170409125813,A38279,00,00,051,00,,Y,23,436.02,43602,INR,131899.11,159516.69499992288,5311,M_5311_00079
