transaction_id,card_id,pan_masked,product_id,cohort_id,timestamp_utc,tx_time_seconds,mti,stan,rrn,auth_code,response_code,auth_response_code,pos_entry_mode,pos_condition_code,eci,trans_status_3ds,vaai_score,amount,amount_minor,currency,available_balance,credit_limit,mcc,merchant_id
TX_00000000,CARD_000126,414720******5423,PROD_CLASSIC_REVOLVING,C4_SUBURBAN_FAMILY,2024-01-01T05:51:21.431378+00:00,1704088281.43,0100,000001,170408828101,A30034,00,00,012,59,05,Y,21,144.55,14455,USD,2401.66,2735.010115486153,6513,M_6513_00022
TX_00000001,CARD_000126,414720******5423,PROD_CLASSIC_REVOLVING,C4_SUBURBAN_FAMILY,2024-01-01T05:51:32.584126+00:00,1704088292.58,0100,000002,170408829202,A34729,00,00,102,59,05,Y,13,70.63,7063,USD,2257.11,2735.010115486153,5411,M_5411_00008
TX_00000002,CARD_000401,414720******3131,PROD_ULTRA_PREMIUM_INFINITE,C5_URBAN_TECH_PROFESSIONAL,2024-01-01T07:21:49.383280+00:00,1704093709.38,0100,000003,170409370903,A12219,00,00,071,00,,Y,44,59.21,5921,USD,78765.34,88021.41627958443,5999,M_5999_00142
TX_00000003,CARD_000401,414720******3131,PROD_ULTRA_PREMIUM_INFINITE,C5_URBAN_TECH_PROFESSIONAL,2024-01-01T07:26:13.881049+00:00,1704093973.88,0100,000004,170409397304,A92928,00,00,012,59,05,Y,47,16.28,1628,USD,78706.13,88021.41627958443,5411,M_5411_00058
TX_00000004,CARD_000401,414720******3131,PROD_ULTRA_PREMIUM_INFINITE,C5_URBAN_TECH_PROFESSIONAL,2024-01-01T07:40:20.514126+00:00,1704094820.51,0100,000005,170409482005,A95558,00,00,012,59,05,Y,11,46.63,4663,USD,78689.86,88021.41627958443,5411,M_5411_00027
TX_00000005,CARD_000401,414720******3131,PROD_ULTRA_PREMIUM_INFINITE,C5_URBAN_TECH_PROFESSIONAL,2024-01-01T07:46:49.454935+00:00,1704095209.45,0100,000006,170409520906,A58209,00,00,012,59,05,Y,32,84.09,8409,USD,78643.23,88021.41627958443,4816,M_4816_00011
TX_00000006,CARD_000401,414720******3131,PROD_ULTRA_PREMIUM_INFINITE,C5_URBAN_TECH_PROFESSIONAL,2024-01-01T07:50:12.003504+00:00,1704095412.0,0100,000007,170409541207,A54865,00,00,071,00,,Y,5,52.57,5257,USD,78559.14,88021.41627958443,5732,M_5732_00082
TX_00000007,CARD_000401,414720******3131,PROD_ULTRA_PREMIUM_INFINITE,C5_URBAN_TECH_PROFESSIONAL,2024-01-01T07:54:01.975101+00:00,1704095641.98,0100,000008,170409564108,,65,65,012,59,07,N,16,9.65,965,USD,78506.57,88021.41627958443,6051,M_6051_00023
TX_00000008,CARD_000493,414720******5365,PROD_BNPL_SINGLE_USE_VIRTUAL,C3_YOUNG_ADULT_STUDENT,2024-01-01T08:29:08.446870+00:00,1704097748.45,0100,000009,170409774809,A65571,00,00,071,00,,Y,10,6.75,675,USD,493.94,463.0031379269237,5812,M_5812_00021
TX_00000009,CARD_000493,414720******5365,PROD_BNPL_SINGLE_USE_VIRTUAL,C3_YOUNG_ADULT_STUDENT,2024-01-01T08:38:26.816755+00:00,1704098306.82,0100,000010,170409830610,A65755,00,00,071,00,,Y,16,28.2,2820,USD,487.19,463.0031379269237,5812,M_5812_00021
TX_00000010,CARD_000690,414720******8525,PROD_REWARDS_SIGNATURE,C5_URBAN_TECH_PROFESSIONAL,2024-01-01T08:42:20.520433+00:00,1704098540.52,0100,000011,170409854011,A59901,00,00,071,00,,Y,11,28.97,2897,USD,17125.77,20764.194176497534,5812,M_5812_00021
TX_00000011,CARD_000690,414720******8525,PROD_REWARDS_SIGNATURE,C5_URBAN_TECH_PROFESSIONAL,2024-01-01T08:56:03.570814+00:00,1704099363.57,0100,000012,170409936312,A42065,00,00,102,59,05,Y,29,22.7,2270,USD,17096.79,20764.194176497534,4816,M_4816_00131
TX_00000012,CARD_000493,414720******5365,PROD_BNPL_SINGLE_USE_VIRTUAL,C3_YOUNG_ADULT_STUDENT,2024-01-01T09:01:04.634130+00:00,1704099664.63,0100,000013,170409966413,A83122,00,00,102,59,05,Y,60,16.69,1669,USD,458.98,463.0031379269237,5812,M_5812_00021
TX_00000013,CARD_000493,414720******5365,PROD_BNPL_SINGLE_USE_VIRTUAL,C3_YOUNG_ADULT_STUDENT,2024-01-01T09:21:30.992894+00:00,1704100890.99,0100,000014,170410089014,,51,51,051,00,,Y,7,864.45,86445,USD,442.3,463.0031379269237,5912,M_5912_00029
TX_00000014,CARD_000690,414720******8525,PROD_REWARDS_SIGNATURE,C5_URBAN_TECH_PROFESSIONAL,2024-01-01T09:24:48.072871+00:00,1704101088.07,0100,000015,170410108815,A16637,00,00,012,59,05,Y,14,9.82,982,USD,17074.1,20764.194176497534,5999,M_5999_00142
TX_00000015,CARD_000690,414720******8525,PROD_REWARDS_SIGNATURE,C5_URBAN_TECH_PROFESSIONAL,2024-01-01T09:31:28.468835+00:00,1704101488.47,0100,000016,170410148816,A24669,00,00,071,00,,Y,23,27.66,2766,USD,17064.28,20764.194176497534,5541,M_5541_00113
TX_00000016,CARD_000493,414720******5365,PROD_BNPL_SINGLE_USE_VIRTUAL,C3_YOUNG_ADULT_STUDENT,2024-01-01T09:35:01.543615+00:00,1704101701.54,0100,000017,170410170117,A67245,00,00,102,59,05,Y,13,19.28,1928,USD,442.3,463.0031379269237,5812,M_5812_00021
TX_00000017,CARD_000148,414720******1632,PROD_REWARDS_SIGNATURE,C4_SUBURBAN_FAMILY,2024-01-01T09:35:35.627841+00:00,1704101735.63,0100,000018,170410173518,A88146,00,00,012,59,05,Y,18,1.94,194,USD,13181.45,15118.570049038542,5411,M_5411_00051
TX_00000018,CARD_000690,414720******8525,PROD_REWARDS_SIGNATURE,C5_URBAN_TECH_PROFESSIONAL,2024-01-01T09:38:51.967358+00:00,1704101931.97,0100,000019,170410193119,A29625,00,00,012,59,05,Y,33,32.64,3264,USD,17036.62,20764.194176497534,4816,M_4816_00011
TX_00000019,CARD_000690,414720******8525,PROD_REWARDS_SIGNATURE,C5_URBAN_TECH_PROFESSIONAL,2024-01-01T09:39:38.526824+00:00,1704101978.53,0100,000020,170410197820,A24003,00,00,071,00,,Y,11,40.79,4079,USD,17003.97,20764.194176497534,5541,M_5541_00113
TX_00000020,CARD_000493,414720******5365,PROD_BNPL_SINGLE_USE_VIRTUAL,C3_YOUNG_ADULT_STUDENT,2024-01-01T09:39:58.609668+00:00,1704101998.61,0100,000021,170410199821,A24689,00,00,051,00,,Y,41,22.64,2264,USD,423.02,463.0031379269237,5541,M_5541_00113
TX_00000021,CARD_000493,414720******5365,PROD_BNPL_SINGLE_USE_VIRTUAL,C3_YOUNG_ADULT_STUDENT,2024-01-01T09:43:12.208083+00:00,1704102192.21,0100,000022,170410219222,A70394,00,00,071,00,,Y,38,22.81,2281,USD,400.39,463.0031379269237,5541,M_5541_00113
TX_00000022,CARD_000493,414720******5365,PROD_BNPL_SINGLE_USE_VIRTUAL,C3_YOUNG_ADULT_STUDENT,2024-01-01T09:46:38.728375+00:00,1704102398.73,0100,000023,170410239823,,65,65,012,59,07,N,23,8.37,837,USD,377.58,463.0031379269237,5812,M_5812_00021
TX_00000023,CARD_000690,414720******8525,PROD_REWARDS_SIGNATURE,C5_URBAN_TECH_PROFESSIONAL,2024-01-01T09:53:40.633078+00:00,1704102820.63,0100,000024,170410282024,A32443,00,00,102,59,05,Y,27,33.1,3310,USD,16963.19,20764.194176497534,5812,M_5812_00021
TX_00000024,CARD_000690,414720******8525,PROD_REWARDS_SIGNATURE,C5_URBAN_TECH_PROFESSIONAL,2024-01-01T10:06:23.879026+00:00,1704103583.88,0100,000025,170410358325,A82086,00,00,012,59,05,Y,28,23.64,2364,USD,16930.09,20764.194176497534,5812,M_5812_00102
TX_00000025,CARD_000153,414720******8745,PROD_TOKENIZED_DPAN,C5_URBAN_TECH_PROFESSIONAL,2024-01-01T10:47:00.160251+00:00,1704106020.16,0100,000026,170410602026,A77942,00,00,071,00,,Y,18,88.22,8822,USD,4178.54,5000.0,5814,M_5814_00110
TX_00000026,CARD_000153,414720******8745,PROD_TOKENIZED_DPAN,C5_URBAN_TECH_PROFESSIONAL,2024-01-01T11:08:26.262707+00:00,1704107306.26,0100,000027,170410730627,A50635,00,00,102,59,05,Y,22,71.01,7101,USD,4090.32,5000.0,5541,M_5541_00113
TX_00000027,CARD_000153,414720******8745,PROD_TOKENIZED_DPAN,C5_URBAN_TECH_PROFESSIONAL,2024-01-01T11:23:48.100102+00:00,1704108228.1,0100,000028,170410822828,A10857,00,00,071,00,,Y,16,14.65,1465,USD,4019.3,5000.0,5812,M_5812_00093
TX_00000028,CARD_000933,414720******5673,PROD_GPR_PREPAID,C1_HOURLY_GIG_WORKER,2024-01-01T11:24:47.435433+00:00,1704108287.44,0100,000029,170410828729,A54054,00,00,051,00,,Y,16,17.81,1781,USD,3079.68,5000.0,5541,M_5541_00019
TX_00000029,CARD_000933,414720******5673,PROD_GPR_PREPAID,C1_HOURLY_GIG_WORKER,2024-01-01T11:36:11.832384+00:00,1704108971.83,0100,000030,170410897130,A34658,00,00,051,00,,Y,33,23.27,2327,USD,3061.87,5000.0,5541,M_5541_00019
TX_00000030,CARD_000153,414720******8745,PROD_TOKENIZED_DPAN,C5_URBAN_TECH_PROFESSIONAL,2024-01-01T11:41:36.603675+00:00,1704109296.6,0100,000031,170410929631,A77176,00,00,071,00,,Y,28,22.76,2276,USD,4004.66,5000.0,5812,M_5812_00093
TX_00000031,CARD_000933,414720******5673,PROD_GPR_PREPAID,C1_HOURLY_GIG_WORKER,2024-01-01T12:02:45.535670+00:00,1704110565.54,0100,000032,170411056532,A58245,00,00,071,00,,Y,2,15.45,1545,USD,3038.6,5000.0,5541,M_5541_00019
TX_00000032,CARD_000153,414720******8745,PROD_TOKENIZED_DPAN,C5_URBAN_TECH_PROFESSIONAL,2024-01-01T12:03:17.439795+00:00,1704110597.44,0100,000033,170411059733,A63635,00,00,012,59,05,Y,12,51.83,5183,USD,3981.89,5000.0,5999,M_5999_00142
TX_00000033,CARD_000933,414720******5673,PROD_GPR_PREPAID,C1_HOURLY_GIG_WORKER,2024-01-01T12:11:03.678454+00:00,1704111063.68,0100,000034,170411106334,A94147,00,00,051,00,,Y,15,21.5,2150,USD,3023.15,5000.0,5541,M_5541_00019
TX_00000034,CARD_000933,414720******5673,PROD_GPR_PREPAID,C1_HOURLY_GIG_WORKER,2024-01-01T12:32:49.005333+00:00,1704112369.01,0100,000035,170411236935,A24470,00,00,071,00,,Y,5,7.77,777,USD,3001.65,5000.0,5411,M_5411_00084
TX_00000035,CARD_000933,414720******5673,PROD_GPR_PREPAID,C1_HOURLY_GIG_WORKER,2024-01-01T12:35:15.839038+00:00,1704112515.84,0100,000036,170411251536,A46487,00,00,051,00,,Y,18,68.47,6847,USD,2993.87,5000.0,5411,M_5411_00084
TX_00000036,CARD_000933,414720******5673,PROD_GPR_PREPAID,C1_HOURLY_GIG_WORKER,2024-01-01T12:53:52.925052+00:00,1704113632.93,0100,000037,170411363237,A45228,00,00,051,00,,Y,15,19.92,1992,USD,2925.4,5000.0,5411,M_5411_00084
TX_00000037,CARD_000933,414720******5673,PROD_GPR_PREPAID,C1_HOURLY_GIG_WORKER,2024-01-01T13:04:39.455248+00:00,1704114279.46,0100,000038,170411427938,A23328,00,00,051,00,,Y,20,1.37,137,USD,2905.48,5000.0,5411,M_5411_00084
TX_00000038,CARD_000054,414720******5889,PROD_CHECKING_DEBIT,C2_FIXED_INCOME_SENIOR,2024-01-01T15:08:38.763356+00:00,1704121718.76,0100,000039,170412171839,A17052,00,00,051,00,,Y,19,30.28,3028,USD,3564.41,5569.844838954592,5411,M_5411_00015
TX_00000039,CARD_000054,414720******5889,PROD_CHECKING_DEBIT,C2_FIXED_INCOME_SENIOR,2024-01-01T15:30:40.630043+00:00,1704123040.63,0100,000040,170412304040,A85464,00,00,071,00,,Y,6,23.82,2382,USD,3534.12,5569.844838954592,5411,M_5411_00015
TX_00000040,CARD_000054,414720******5889,PROD_CHECKING_DEBIT,C2_FIXED_INCOME_SENIOR,2024-01-01T15:50:18.529334+00:00,1704124218.53,0100,000041,170412421841,A55901,00,00,051,00,,Y,8,47.3,4730,USD,3510.3,5569.844838954592,5411,M_5411_00015
TX_00000041,CARD_000054,414720******5889,PROD_CHECKING_DEBIT,C2_FIXED_INCOME_SENIOR,2024-01-01T15:53:52.624594+00:00,1704124432.62,0100,000042,170412443242,A66755,00,00,051,00,,Y,4,21.89,2189,USD,3463.0,5569.844838954592,5411,M_5411_00015
TX_00000042,CARD_000054,414720******5889,PROD_CHECKING_DEBIT,C2_FIXED_INCOME_SENIOR,2024-01-01T15:57:12.990487+00:00,1704124632.99,0100,000043,170412463243,A46303,00,00,051,00,,Y,9,23.39,2339,USD,3441.11,5569.844838954592,5411,M_5411_00015
TX_00000043,CARD_000054,414720******5889,PROD_CHECKING_DEBIT,C2_FIXED_INCOME_SENIOR,2024-01-01T16:04:00.348935+00:00,1704125040.35,0100,000044,170412504044,A92712,00,00,051,00,,Y,26,65.09,6509,USD,3417.73,5569.844838954592,5411,M_5411_00015
